ip,duration,trans_protocol,app_protocol,send_bytes,recv_bytes,t_same_main_engine,t_same_server,t_same_server_rate,t_diff_server_rate,t_diff_main_engine_rate,t_same_main_engine_2,t_same_server_2,t_same_server_rate_2,t_diff_server_rate_2,t_diff_main_engine_rate_2,same_main_engine,same_server,same_server_rate,diff_server_rate,same_src_rate,diff_src_rate,std,mean,send_rst_flag_rate
192.168.89.22,4026380,TCP,HTTP,787,905,25,79,1.0,0.0,0.68,25,39,1.0,0.0,0.36,25,25,1.0,0.0,0.04,0.96,138069.37110923804,5230.572427572428,0.3007
192.168.92.18,16414,TCP,SSL,985,1691,1,2,1.0,0.0,0.5,1,2,1.0,0.0,0.5,1,1,1.0,0.0,1.0,0.0,138069.35443187135,5231.083916083916,0.3017
192.168.89.22,1013474,TCP,HTTP,472,527,26,80,1.0,0.0,0.68,26,40,1.0,0.0,0.35,26,26,1.0,0.0,0.04,0.96,138069.35665480432,5231.018981018981,0.3027
192.168.92.18,1018231,TCP,SSL,1780,2774,2,3,1.0,0.0,0.33,2,3,1.0,0.0,0.33,2,2,1.0,0.0,0.5,0.5,138069.30321763674,5232.731268731269,0.3027
192.168.89.22,3960025,TCP,HTTP,1252,13196,27,81,1.0,0.0,0.67,22,36,1.0,0.0,0.39,27,27,1.0,0.0,0.04,0.96,138069.27858281793,5233.50949050949,0.3027
183.232.23.240,159705,TCP,HTTPS,1477,3106,6,33,1.0,0.0,0.82,1,11,1.0,0.0,0.91,5,5,1.0,0.0,0.2,0.8,138069.29358727165,5232.9100899100895,0.3037
59.111.181.166,39993,TCP,HTTPS,284,217,1,34,1.0,0.0,0.97,1,12,1.0,0.0,0.92,1,1,1.0,0.0,1.0,0.0,138069.30022559848,5232.721278721278,0.3037
192.168.102.114,3758,TCP,OTHER,534,3880,1,25,1.0,0.0,0.96,1,13,1.0,0.0,0.92,1,1,1.0,0.0,1.0,0.0,138069.28382041235,5233.1808191808195,0.3047
192.168.102.114,2099,TCP,OTHER,394,350,2,26,1.0,0.0,0.92,2,14,1.0,0.0,0.86,2,2,1.0,0.0,0.5,0.5,138069.33249134527,5231.499500499501,0.30569
192.168.102.114,4107,TCP,OTHER,534,3880,3,27,1.0,0.0,0.89,3,15,1.0,0.0,0.8,3,3,1.0,0.0,0.33,0.67,138069.37631408527,5229.958041958042,0.30669
192.168.102.114,2439,TCP,OTHER,390,414,4,28,1.0,0.0,0.86,4,16,1.0,0.0,0.75,4,4,1.0,0.0,0.25,0.75,138069.37919575753,5229.875124875125,0.30769
192.168.102.114,1253,TCP,OTHER,394,350,5,29,1.0,0.0,0.83,5,17,1.0,0.0,0.71,5,5,1.0,0.0,0.2,0.8,138069.3819373646,5229.796203796203,0.30869
192.168.102.114,4941,TCP,OTHER,534,3880,6,30,1.0,0.0,0.8,6,18,1.0,0.0,0.67,6,6,1.0,0.0,0.17,0.83,138069.42574107266,5228.254745254745,0.30969
192.168.102.114,3265,TCP,OTHER,390,730,7,31,1.0,0.0,0.77,7,19,1.0,0.0,0.63,7,7,1.0,0.0,0.14,0.86,138069.42862172102,5228.171828171829,0.31069
192.168.102.114,1896,TCP,OTHER,390,258,8,32,1.0,0.0,0.75,8,20,1.0,0.0,0.6,8,8,1.0,0.0,0.12,0.88,138069.42925066617,5228.153846153846,0.31169
192.168.102.114,2970,TCP,OTHER,394,350,9,33,1.0,0.0,0.73,9,21,1.0,0.0,0.57,9,9,1.0,0.0,0.11,0.89,138069.4778603326,5226.472527472528,0.31269
192.168.102.114,3441,TCP,OTHER,534,3880,10,34,1.0,0.0,0.71,10,22,1.0,0.0,0.55,10,10,1.0,0.0,0.1,0.9,138069.52162690347,5224.931068931069,0.31369
192.168.102.114,2972,TCP,OTHER,394,350,11,35,1.0,0.0,0.69,11,23,1.0,0.0,0.52,11,11,1.0,0.0,0.09,0.91,138069.51021977203,5225.2467532467535,0.31469
192.168.102.114,4325,TCP,OTHER,604,3880,12,36,1.0,0.0,0.67,12,24,1.0,0.0,0.5,12,12,1.0,0.0,0.08,0.92,138069.5057773788,5225.377622377622,0.31568
192.168.102.114,1744,TCP,OTHER,394,350,13,35,1.0,0.0,0.63,13,25,1.0,0.0,0.48,13,13,1.0,0.0,0.08,0.92,138069.50851641258,5225.298701298701,0.31668
192.168.102.114,5140,TCP,OTHER,534,3880,14,36,1.0,0.0,0.61,14,26,1.0,0.0,0.46,14,14,1.0,0.0,0.07,0.93,138069.5522926334,5223.756243756244,0.31768
192.168.102.114,2064,TCP,OTHER,394,350,15,37,1.0,0.0,0.59,15,27,1.0,0.0,0.44,15,15,1.0,0.0,0.07,0.93,138069.5402167988,5224.0899100899105,0.31868
192.168.102.114,4470,TCP,OTHER,534,3880,16,38,1.0,0.0,0.58,16,28,1.0,0.0,0.43,16,16,1.0,0.0,0.06,0.94,138069.5320776926,5224.323676323676,0.31868
120.232.31.158,38470,TCP,HTTPS,145,128,1,35,1.0,0.0,0.97,1,13,1.0,0.0,0.92,1,1,1.0,0.0,1.0,0.0,138069.534777466,5224.24975024975,0.31868
192.168.102.114,1919,TCP,OTHER,394,350,17,39,1.0,0.0,0.56,17,29,1.0,0.0,0.41,17,17,1.0,0.0,0.06,0.94,138069.59598539866,5221.953046953047,0.31868
192.168.102.114,3671,TCP,OTHER,534,3880,18,40,1.0,0.0,0.55,18,30,1.0,0.0,0.4,18,18,1.0,0.0,0.06,0.94,138069.6003667242,5221.822177822178,0.31968
192.168.102.114,1279,TCP,OTHER,394,350,19,41,1.0,0.0,0.54,19,31,1.0,0.0,0.39,19,19,1.0,0.0,0.05,0.95,138069.60956724532,5221.551448551449,0.32068
203.209.251.147,25365440,TCP,HTTPS,1837,7147,1,36,1.0,0.0,0.97,1,13,1.0,0.0,0.92,1,1,1.0,0.0,1.0,0.0,138069.59623029534,5214.2897102897105,0.32168
192.168.102.114,5155,TCP,OTHER,534,3880,20,42,1.0,0.0,0.52,20,32,1.0,0.0,0.38,20,20,1.0,0.0,0.05,0.95,138069.5859612094,5214.583416583417,0.32168
192.168.102.114,2038,TCP,OTHER,394,350,21,43,1.0,0.0,0.51,21,33,1.0,0.0,0.36,21,21,1.0,0.0,0.05,0.95,138069.58050391614,5214.737262737262,0.32268
192.168.102.114,5426,TCP,OTHER,534,3880,22,41,1.0,0.0,0.46,22,34,1.0,0.0,0.35,22,22,1.0,0.0,0.05,0.95,138069.65854299717,5210.627372627373,0.32268
192.168.93.30,3811,TCP,HTTP,546,595,13,50,1.0,0.0,0.74,9,31,1.0,0.0,0.71,11,11,1.0,0.0,0.09,0.91,138069.65823894623,5210.636363636364,0.32268
192.168.102.114,2015,TCP,OTHER,394,350,23,42,1.0,0.0,0.45,23,35,1.0,0.0,0.34,23,23,1.0,0.0,0.04,0.96,138069.66314854345,5210.493506493506,0.32368
192.168.102.114,3005,TCP,OTHER,534,3880,24,43,1.0,0.0,0.44,24,36,1.0,0.0,0.33,24,24,1.0,0.0,0.04,0.96,138069.6632500209,5210.49050949051,0.32468
192.168.102.114,3804,TCP,OTHER,394,350,25,44,1.0,0.0,0.43,25,37,1.0,0.0,0.32,25,25,1.0,0.0,0.04,0.96,138069.66815946705,5210.347652347652,0.32567
192.168.102.114,4560,TCP,OTHER,534,3880,26,45,1.0,0.0,0.42,26,38,1.0,0.0,0.32,26,26,1.0,0.0,0.04,0.96,138069.6682609414,5210.344655344656,0.32667
192.168.102.114,2406,TCP,OTHER,394,350,27,46,1.0,0.0,0.41,27,39,1.0,0.0,0.31,27,27,1.0,0.0,0.04,0.96,138069.67317023646,5210.201798201798,0.32767
192.168.102.114,3386,TCP,OTHER,534,3880,28,47,1.0,0.0,0.4,28,40,1.0,0.0,0.3,28,28,1.0,0.0,0.04,0.96,138069.67327170758,5210.198801198801,0.32867
192.168.102.114,2129,TCP,OTHER,394,350,29,48,1.0,0.0,0.4,29,40,1.0,0.0,0.28,29,29,1.0,0.0,0.03,0.97,138069.67818085148,5210.055944055944,0.32967
192.168.89.22,6005830,TCP,HTTP,1646,559,28,50,1.0,0.0,0.44,18,29,1.0,0.0,0.38,27,27,1.0,0.0,0.04,0.96,138069.645128483,5211.163836163836,0.32967
192.168.102.114,2774,TCP,OTHER,604,3880,30,49,1.0,0.0,0.39,30,41,1.0,0.0,0.27,30,30,1.0,0.0,0.03,0.97,138069.642878777,5211.2307692307695,0.33067
192.168.81.4,0,TCP,OTHER,74,0,1,48,1.0,0.0,0.98,1,37,1.0,0.0,0.97,1,1,1.0,0.0,1.0,0.0,138069.65931234712,5210.768231768232,0.33067
192.168.89.22,5006020,TCP,HTTP,1646,559,29,49,1.0,0.0,0.41,18,25,1.0,0.0,0.28,25,25,1.0,0.0,0.04,0.96,138069.6262542586,5211.8761238761235,0.33067
192.168.89.22,5005436,TCP,HTTP,1646,559,30,50,1.0,0.0,0.4,19,26,1.0,0.0,0.27,25,25,1.0,0.0,0.04,0.96,138069.5931872722,5212.984015984016,0.33067
47.119.215.174,124800,TCP,HTTPS,397,140,1,26,1.0,0.0,0.96,1,7,1.0,0.0,0.86,1,1,1.0,0.0,1.0,0.0,138069.59799473334,5212.8441558441555,0.33067
192.168.89.22,5007269,TCP,HTTP,1646,560,31,47,1.0,0.0,0.34,16,22,1.0,0.0,0.27,24,24,1.0,0.0,0.04,0.96,138069.56491997253,5213.952047952048,0.33067
192.168.59.4,9390982,TCP,HTTP,7347,31448,1,47,1.0,0.0,0.98,1,22,1.0,0.0,0.95,1,1,1.0,0.0,1.0,0.0,138069.49989483217,5220.8191808191805,0.33067
192.168.89.22,5005315,TCP,HTTP,1646,559,32,48,1.0,0.0,0.33,16,22,1.0,0.0,0.27,23,23,1.0,0.0,0.04,0.96,138069.46675605496,5221.927072927073,0.33067
192.168.89.22,5007391,TCP,HTTP,1646,559,33,49,1.0,0.0,0.33,17,21,1.0,0.0,0.19,24,24,1.0,0.0,0.04,0.96,138069.42104247227,5223.391608391608,0.32967
192.168.0.150,0,TCP,OTHER,66,0,1,46,1.0,0.0,0.98,1,36,1.0,0.0,0.97,1,1,1.0,0.0,1.0,0.0,138069.43781507984,5222.921078921079,0.32967
192.168.89.22,7402304,TCP,HTTP,537,2208,34,50,1.0,0.0,0.32,16,19,1.0,0.0,0.16,25,25,1.0,0.0,0.04,0.96,138069.43563032875,5222.985014985015,0.32967
183.2.140.97,93376,TCP,OTHER,123,64,1,47,1.0,0.0,0.98,1,33,1.0,0.0,0.97,1,1,1.0,0.0,1.0,0.0,138069.4506252868,5222.561438561439,0.32967
192.168.89.22,5004723,TCP,HTTP,1646,559,35,51,1.0,0.0,0.31,13,16,1.0,0.0,0.19,25,25,1.0,0.0,0.04,0.96,138069.41528741975,5223.733266733267,0.32967
192.168.89.22,14010314,TCP,HTTP,5014,33636,36,52,1.0,0.0,0.31,12,14,1.0,0.0,0.14,26,26,1.0,0.0,0.04,0.96,138069.33624761066,5228.195804195804,0.32967
192.168.89.22,5003063,TCP,HTTP,1646,560,29,45,1.0,0.0,0.36,10,12,1.0,0.0,0.17,27,27,1.0,0.0,0.04,0.96,138069.30304960287,5229.303696303697,0.32967
192.168.89.22,5006751,TCP,HTTP,1646,559,30,46,1.0,0.0,0.35,11,13,1.0,0.0,0.15,28,28,1.0,0.0,0.04,0.96,138069.2698426972,5230.411588411588,0.32967
192.168.89.10,6356356,TCP,HTTP,548,2211,1,46,1.0,0.0,0.98,1,14,1.0,0.0,0.93,1,1,1.0,0.0,1.0,0.0,138069.26980881396,5230.4125874125875,0.32967
192.168.89.10,6663706,TCP,HTTP,548,2211,2,47,1.0,0.0,0.96,2,15,1.0,0.0,0.87,2,2,1.0,0.0,0.5,0.5,138069.25685069192,5230.780219780219,0.32867
192.168.89.22,5004122,TCP,HTTP,1646,559,30,47,1.0,0.0,0.36,12,16,1.0,0.0,0.25,29,29,1.0,0.0,0.03,0.97,138069.21322342887,5232.184815184815,0.32867
192.168.89.22,5002984,TCP,HTTP,1646,560,31,47,1.0,0.0,0.34,13,17,1.0,0.0,0.24,30,30,1.0,0.0,0.03,0.97,138069.1803328216,5233.282717282717,0.32867
52.231.20.34,154196,TCP,SSL,183,127,1,4,1.0,0.0,0.75,1,1,1.0,0.0,0.0,1,1,1.0,0.0,1.0,0.0,138069.25734214633,5226.197802197802,0.32867
192.168.89.22,5005003,TCP,HTTP,1646,559,31,44,1.0,0.0,0.3,13,16,1.0,0.0,0.19,31,31,1.0,0.0,0.03,0.97,138069.22449915722,5227.295704295704,0.32867
192.168.89.22,5004760,TCP,HTTP,1646,559,31,44,1.0,0.0,0.3,14,17,1.0,0.0,0.18,31,31,1.0,0.0,0.03,0.97,138069.2554745927,5225.780219780219,0.32767
192.168.93.30,5248298,TCP,HTTP,547,2211,8,44,1.0,0.0,0.82,1,18,1.0,0.0,0.94,9,9,1.0,0.0,0.11,0.89,138069.25513569708,5225.79020979021,0.32767
192.168.89.22,5002990,TCP,HTTP,1716,1054,32,45,1.0,0.0,0.29,15,19,1.0,0.0,0.21,32,32,1.0,0.0,0.03,0.97,138069.22049998966,5226.958041958042,0.32767
120.253.255.34,58869772,TCP,HTTPS,240,335,1,8,1.0,0.0,0.88,1,2,1.0,0.0,0.5,1,1,1.0,0.0,1.0,0.0,138069.2161178607,5227.077922077922,0.32667
192.168.93.30,5331480,TCP,HTTP,547,2211,5,38,1.0,0.0,0.87,2,17,1.0,0.0,0.88,9,9,1.0,0.0,0.11,0.89,138069.2161178607,5227.077922077922,0.32667
192.168.89.22,5002703,TCP,HTTP,1646,559,29,39,1.0,0.0,0.26,13,17,1.0,0.0,0.24,33,33,1.0,0.0,0.03,0.97,138069.17252824872,5228.482517482517,0.32567
192.168.92.10,5002284,TCP,HTTP,830,672,1,38,1.0,0.0,0.97,1,17,1.0,0.0,0.94,2,2,1.0,0.0,0.5,0.5,138069.21425885483,5226.88011988012,0.32567
192.168.92.43,5003500,TCP,HTTP,780,667,1,38,1.0,0.0,0.97,1,18,1.0,0.0,0.94,2,2,1.0,0.0,0.5,0.5,138069.25327763255,5225.432567432567,0.32567
192.168.89.22,5005426,TCP,HTTP,1646,559,29,39,1.0,0.0,0.26,12,18,1.0,0.0,0.33,34,34,1.0,0.0,0.03,0.97,138069.2204407275,5226.530469530469,0.32567
